Zodis                         Eilutes             
tiltas                        92 93 94 97 98 99 100 101 102 103 104 105 106 107 108 109 112 113 114 115 116 117 118 119 120 121 122 
tiltą                         136 136 136 136     
tiltų                         95 95               
tipo                          133 136             
to                            14 77               
tokio                         133 136             
transportas                   126 129             
transporto                    88 132 254          
trijų                         77 202 203 204      
troleibusai                   130 131 327         
troleibusų                    130 133 133         
trys                          196 201 205         
tsr                           333 333 335 335     
turizmo                       82 259              
tvenkinys                     16 16 16            
tą                            5 52                
tūkst                         75 75               
unesco                        2 64 273            
universitetas                 54 54 58 226 228 230 231 234 
universiteto                  54 233 236 269      
universitetą                  54 57               
uostas                        134 352             
upė                           4 14 25 26          
upės                          5 10 37 52 54       
upėvardis                     4 52                
už                            19 201              
užsienio                      1 74 80             
užėmė                         56 59 61 63         
užėmę                         58 58               
vadinamas                     218 273             
vadinti                       5 218               
vakarų                        54 79               
valdyba                       333 335             
valdžia                       57 69 69            
valdžios                      1 74                
vardas                        5 5 52 52           
vardo                         5 5 5 5 52 52 52 52 
variantas                     4 52                
vartų                         201 201 201 201 201 201 201 291 
vasarą                        59 59               
veikia                        1 81 135 138        
veikė                         58 75               
verkių                        16 16 19 20         
verslo                        136 214 214 233 253 254 256 257 259 261 
vid                           43 44 45            
vidurio                       79 201              
vidutinė                      35 35 35            
viena                         15 293              
vienam                        74 78 79 80         
vienas                        186 199 201 214 218 273 
vienos                        19 211              
vienuolynas                   201 201             
vietos                        20 201 218 332      
vietovės                      333 335 338 339     
viešasis                      126 129 130         
vikipedijos                   71 72 152 166       
vilko                         54 103              
vilna                         5 52 307 308 309    
vilnelės                      196 196             
vilnia                        4 4 5 10 14 52 52 52 
vilniaus                      1 1 1 2 5 5 17 19 33 40 48 50 52 52 54 54 54 56 57 58 59 60 61 61 61 62 64 66 68 69 69 76 78 82 83 127 129 130 133 134 134 134 148 153 167 191 192 196 196 196 196 199 199 201 201 205 207 214 214 217 220 220 223 225 226 227 232 233 236 240 250 251 252 253 254 255 256 257 258 259 261 267 268 269 272 290 293 295 295 295 295 296 297 298 299 322 339 347 352 353 354 356 357 358 359 360 361 362 364 365 
vilnios                       4 7 25 26 52        
vilnis                        52 131              
vilniui                       53 54               
vilniuje                      19 38 58 61 62 63 133 199 214 327 329 
vilnius                       1 4 5 5 52 52 54 54 57 57 57 59 59 64 201 305 312 317 318 319 319 320 333 334 334 335 336 336 337 337 338 339 340 345 347 366 
vilnią                        91 95 111           
vilnių                        54 56 56 58 59 61 63 68 196 350 
vingio                        15 19 20 27 28 29 30 100 301 
viršijo                       78 79               
visa                          57 59 196           
visi                          74 87               
viso                          80 133 168          
visoje                        38 54 201           
visų                          220 280             
vokiečių                      59 139              
vyko                          63 302              
vyrauja                       19 19               
vyriausioji                   334 337             
vyriška                       5 5 5               
vystėsi                       57 62               
vėliau                        54 58               
wayback                       326 345 346 357 362 366 
wilno                         5 307 309 323       
xiii                          54 323              
xix                           51 293              
xv                            5 52 319            
xviii                         56 196              
yra                           1 4 5 7 10 11 12 15 16 16 19 20 35 35 52 52 74 95 130 130 134 151 165 196 199 201 201 201 201 208 214 217 218 218 273 275 278 295 301 
čia                           201 211 214 278 278 295 
čiurlionis                    186 211             
ėmimo                         295 296 297         
į                             2 5 7 10 10 10 14 14 14 54 56 58 59 59 61 63 64 125 125 125 131 133 188 196 218 273 295 296 297 327 
įkurtos                       62 211              
įmonės                        75 130              
įsigalėjo                     5 52                
įsigalėjęs                    4 52                
įsikūręs                      10 214              
įstaigos                      88 219 247          
įtrauktas                     2 64 273            
šalia                         16 201              
šaltiniais                    152 166             
šaltinis                      75 76 77            
šalyse                        214 293             
šeškinės                      12 21 22            
šiame                         151 165             
šiaurėje                      10 16 19            
šiaurės                       10 10 16 17 19 54 56 61 
šio                           199 218 218         
šios                          196 201             
šv                            142 189 199 199 201 201 232 277 281 282 283 285 286 288 289 289 295 
šventosios                    54 284              
švč                           201 201 201 279 287 291 293 
žemiausia                     11 45 46            
žemėlapis                     55 357 358 359 361 362 
žinoma                        5 52                
žirmūnų                       94 107 252          
žodžiu                        4 52                
žr                            278 295             
žvėryno                       20 102 136          
žydų                          54 59 59 201 295 295 
аа                            306 314             
брокгауза                     306 313             
вильна                        306 313 342         
г                             342 342             
ефрона                        306 313             
и                             306 313             
империи                       314 342             
российской                    314 342             
словарь                       306 313 314         
спетербургъ                   306 313             
т                             306 307 313         
энциклопедический             306 313             
